2012-12-07 50.5
2013-12-07 55.5
2014-01-07 60.0
2014-02-07 50.5
2014-03-07 55.5
2014-04-07 60.0
2014-05-07 50.5
2014-06-07 55.5
2014-07-07 60.0
2014-08-07 60.0
2014-09-12 61.0
2014-10-12 62.0
2014-11-12 63.0
2014-12-12 64.0
2015-01-12 65.0
2015-01-12 78.0
2015-02-12 79.0
2015-03-12 85.0
2015-04-12 86.0
2015-05-29 92.0
2015-06-29 93.0
2015-07-29 101.0
2015-07-29 108.0
2015-07-29 109.0
2015-08-29 110.0
2015-08-29 113.0
2015-08-29 115.0
2015-09-29 116.0
2015-09-29 117.0
2015-09-29 122.0
2015-09-29 123.0
2015-10-29 124.0
2015-10-29 125.0
2015-11-20 127.0
2015-11-20 128.0
2015-12-20 132.0
2016-01-12 143.0
2016-03-12 144.0
2016-05-12 145.0
2016-07-12 146.0
2016-09-12 147.0
2016-10-12 148.0
2016-12-12 149.0
